Fiscal Year,FY 2019,RBZ Interbank Rate,USD Converted,FY 2020,RBZ Interbank Rate,USD Converted,FY 2021,RBZ Interbank Rate,USD Converted,FY 2022,RBZ Interbank Rate,USD Converted,FY 2023,RBZ Interbank Rate,USD Converted
Market Capitalization,,,,,,,,,,,,,,,
Market Cap Growth,,,,,,,,,,,,,,,
Enterprise Value,,,,,,,,,,,,,,,
Last Close Price,,,,,,,,,,,,,,,
PE Ratio,,,,,,,,,,,,,,,
Forward PE,,,,,,,,,,,,,,,
PS Ratio,,,,,,,,,,,,,,,
PB Ratio,,,,,,,,,,,,,,,
P/TBV Ratio,,,,,,,,,,,,,,,
P/FCF Ratio,,,,,,,,,,,,,,,
P/OCF Ratio,,,,,,,,,,,,,,,
PEG Ratio,,,,,,,,,,,,,,,
EV/Sales Ratio,,,,,,,,,,,,,,,
EV/EBITDA Ratio,,,,,,,,,,,,,,,
EV/EBIT Ratio,,,,,,,,,,,,,,,
EV/FCF Ratio,,,,,,,,,,,,,,,
Debt / Equity Ratio,,,,,,,,,,,,,,,
Debt / EBITDA Ratio,,,,,,,,,,,,,,,
Debt / FCF Ratio,,,,,,,,,,,,,,,
Asset Turnover,,,,,,,,,,,,,,,
Inventory Turnover,,,,,,,,,,,,,,,
Quick Ratio,,,,,,,,,,,,,,,
Current Ratio,,,,,,,,,,,,,,,
Return on Equity (ROE),,,,,,,,,,,,,,,
Return on Assets (ROA),,,,,,,,,,,,,,,
Return on Capital (ROIC),,,,,,,,,,,,,,,
Return on Capital Employed (ROCE),,,,,,,,,,,,,,,
Earnings Yield,,,,,,,,,,,,,,,
FCF Yield,,,,,,,,,,,,,,,
Dividend Yield,,,,,,,,,,,,,,,
Payout Ratio,,,,,,,,,,,,,,,
Buyback Yield / Dilution,,,,,,,,,,,,,,,
Total Shareholder Return,,,,,,,,,,,,,,,
