Date,Price
2020-12-31,"55,000.0000"
2020-12-30,"52,377.5000"
2020-12-29,"45,560.8700"
2020-12-28,"40,000.0000"
2020-12-24,"40,000.0000"
2020-12-23,"33,392.3100"
2020-12-22,"33,392.3100"
2020-12-21,"33,392.3100"
2020-12-18,"41,000.0000"
2020-12-17,"41,000.0000"
2020-12-16,"41,000.0000"
2020-12-15,"41,000.0000"
2020-12-14,"44,600.0000"
2020-12-13,"40,502.5000"
2020-12-12,"40,502.5000"
2020-12-11,"40,502.5000"
2020-12-10,"40,775.0000"
2020-12-09,"33,980.0000"
2020-12-08,"33,980.0000"
2020-12-07,"28,320.0000"
2020-12-06,"28,320.0000"
2020-12-05,"28,320.0000"
2020-12-04,"28,320.0000"
2020-12-03,"23,600.0000"
2020-12-02,"23,600.0000"
2020-12-01,"23,550.0000"
2020-11-30,"23,550.0000"
2020-11-29,"23,550.0000"
2020-11-28,"23,550.0000"
2020-11-27,"23,550.0000"
2020-11-26,"21,691.7200"
2020-11-25,"21,691.7200"
2020-11-24,"21,700.0000"
2020-11-23,"21,700.0000"
2020-11-22,"21,752.8600"
2020-11-21,"21,752.8600"
2020-11-20,"21,752.8600"
2020-11-19,"21,700.0000"
2020-11-18,"21,700.0000"
2020-11-17,"21,700.0000"
2020-11-16,"21,700.0000"
2020-11-15,"21,700.0000"
2020-11-14,"21,700.0000"
2020-11-13,"21,700.0000"
2020-11-12,"21,754.4800"
2020-11-11,"21,754.4800"
2020-11-10,"21,754.4800"
2020-11-09,"21,754.4800"
2020-11-08,"21,754.4800"
2020-11-07,"21,754.4800"
2020-11-06,"21,754.4800"
2020-11-05,"21,754.4800"
2020-11-04,"21,754.4800"
2020-11-03,"21,754.4800"
2020-11-02,"21,900.0000"
2020-11-01,"21,900.0000"
2020-10-30,"21,900.0000"
2020-10-29,"21,900.0000"
2020-10-28,"21,900.0000"
2020-10-27,"21,900.0000"
2020-10-26,"21,900.0000"
2020-10-23,"21,900.0000"
2020-10-22,"22,000.0000"
2020-10-21,"22,000.0000"
2020-10-20,"22,000.0000"
2020-10-19,"22,000.0000"
2020-10-16,"22,000.0000"
2020-10-15,"22,191.3700"
2020-10-14,"22,448.5700"
2020-10-12,"22,560.0000"
2020-10-09,"22,560.0000"
2020-10-08,"22,560.0000"
2020-10-07,"22,560.0000"
2020-10-06,"22,560.0000"
2020-10-05,"22,560.0000"
2020-10-03,"9,000.0000"
2020-10-02,"22,560.0000"
2020-10-01,"22,490.0000"
2020-09-30,"22,490.0000"
2020-09-29,"22,490.0000"
2020-09-28,"22,490.0000"
2020-09-25,"22,490.0000"
2020-09-24,"22,490.0000"
2020-09-23,"22,400.0000"
2020-09-22,"22,490.0000"
2020-09-21,"22,520.0000"
2020-09-18,"22,507.6900"
2020-09-17,"22,507.6900"
2020-09-16,"22,560.0000"
2020-09-15,"22,561.0000"
2020-09-11,"22,570.0000"
2020-09-08,"19,907.6900"
2020-09-04,"19,900.0000"
2020-09-03,"19,900.0000"
2020-09-02,"20,000.0000"
2020-09-01,"20,000.0000"
2020-08-31,"20,000.0000"
2020-08-28,"20,000.0000"
2020-08-26,"19,500.0000"
2020-08-25,"19,500.0000"
2020-08-24,"20,000.0000"
2020-08-21,"20,000.0000"
2020-08-20,"20,000.0000"
2020-08-19,"20,800.0000"
2020-08-18,"20,800.0000"
2020-08-17,"20,800.0000"
2020-08-14,"20,900.0000"
2020-08-13,"21,600.0000"
2020-08-12,"21,600.0000"
2020-08-07,"21,600.0000"
2020-08-06,"21,600.0000"
2020-08-05,"21,600.0000"
2020-08-03,"21,600.0000"
2020-07-31,"21,600.0000"
2020-07-30,"21,600.0000"
2020-07-16,"21,600.0000"
2020-07-15,"21,600.0000"
2020-07-13,"21,600.0000"
2020-07-10,"21,600.0000"
2020-07-08,"21,600.0000"
2020-07-07,"21,600.0000"
2020-07-06,"21,600.0000"
2020-07-03,"21,600.0000"
2020-07-02,"21,600.0000"
2020-07-01,"21,600.0000"
2020-06-30,"21,600.0000"
2020-06-26,"21,600.0000"
2020-06-25,"21,600.0000"
2020-06-24,"21,600.0000"
2020-06-23,"21,600.0000"
2020-06-22,"21,600.0000"
2020-06-19,"21,600.0000"
2020-06-18,"20,150.0000"
2020-06-17,"17,200.0000"
2020-06-16,"17,200.0000"
2020-06-15,"17,200.0000"
2020-06-12,"17,200.0000"
2020-06-11,"16,675.0000"
2020-06-10,"17,200.0000"
2020-06-09,"17,200.0000"
2020-06-08,"17,200.0000"
2020-06-05,"17,160.0000"
2020-06-04,"14,300.0000"
2020-06-03,"14,600.0000"
2020-06-02,"14,500.0000"
2020-06-01,"14,400.0000"
2020-05-03,"8,428.5700"
2020-05-04,"8,000.0000"
2020-05-06,"8,000.0000"
2020-05-07,"8,000.0000"
2020-05-08,"8,000.0000"
2020-05-11,"9,000.0000"
2020-05-12,"9,500.0000"
2020-05-13,"10,500.0000"
2020-05-14,"10,500.0000"
2020-05-15,"10,566.6700"
2020-05-18,"10,896.7000"
2020-05-19,"11,833.3300"
2020-05-20,"14,200.0000"
2020-05-21,"14,388.0000"
2020-05-22,"14,388.0000"
2020-05-26,"14,400.0000"
2020-05-27,"14,400.0000"
2020-05-28,"14,400.0000"
2020-05-29,"14,400.0000"
2020-04-01,"8,600.0000"
2020-04-02,"8,600.0000"
2020-04-03,"8,600.0000"
2020-04-06,"8,600.0000"
2020-04-07,"8,600.0000"
2020-04-08,"8,600.0000"
2020-04-14,"8,550.0000"
2020-04-15,"8,000.0000"
2020-04-16,"8,000.0000"
2020-04-17,"8,000.0000"
2020-04-20,"8,000.0000"
2020-04-21,"8,100.0000"
2020-04-22,"8,100.0000"
2020-04-23,"8,100.0000"
2020-04-24,"8,100.0000"
2020-04-27,"8,000.0000"
2020-04-30,"8,000.0000"
2020-03-02,"7,354.5100"
2020-03-03,"8,413.5700"
2020-03-18,"9,700.0000"
2020-03-19,"9,700.0000"
2020-03-20,"9,584.9700"
2020-03-23,"9,584.9700"
2020-03-24,"9,500.0000"
2020-03-25,"9,000.0000"
2020-03-27,"8,600.0000"
2020-03-30,"8,600.0000"
2020-03-31,"8,600.0000"
2020-02-01,"6,035.0000"
2020-02-03,"6,030.0000"
2020-02-04,"6,000.0000"
2020-02-05,"6,000.0000"
2020-02-06,"6,600.0000"
2020-02-07,"6,625.0000"
2020-02-10,"6,700.0000"
2020-02-11,"6,700.0000"
2020-02-12,"6,700.0000"
2020-02-13,"6,700.0000"
2020-02-17,"6,700.0000"
2020-02-19,"6,750.0000"
2020-02-20,"6,750.0000"
2020-02-24,"6,750.0000"
2020-02-25,"6,750.0000"
2020-02-26,"6,600.0000"
2020-02-27,"7,354.5100"
2020-02-28,"7,354.5100"
